game_id,player,side,nfoul,t3,f3_h1,t2,times
401537459,Dana Evans,home,3,1264.0,0,873.0,197|873|1264
401537459,Victoria Vivians,away,3,1427.0,0,1022.0,217|1022|1427
401537459,Destanni Henderson,away,1,,0,,375
401537459,Feyonda Fitzgerald,home,1,,0,,454
401537459,Kayana Traylor,home,1,,0,,514
401537459,Morgan Bertsch,home,2,,0,1932.0,524|1932
401537459,Emma Cannon,away,2,,0,1198.9,568|1199
401537459,NaLyssa Smith,away,1,,0,,725
401537459,Taylor Mikesell,away,1,,0,,887
401537459,Alanna Smith,home,1,,0,,1049
401537459,Isabelle Harrison,home,2,,0,1184.0,1101|1184
401537459,Lexie Hull,away,1,,0,,1601
401537459,Courtney Williams,home,2,,0,2095.0,1644|2095
401537459,Victaria Saxton personal,away,1,,0,,1907
401537459,Queen Egbo,away,1,,0,,1957
401537459,Kristine Anigwe,home,3,2319.0,0,2280.0,1977|2280|2319
401537459,Victaria Saxton,away,1,,0,,1987
401537459,Anneli Maley,home,1,,0,,2163
401535138,Mercedes Russell,home,2,,0,225.0,115|225
401535138,Megan Gustafson,away,2,,0,1491.0,138|1491
401535138,Sophie Cunningham,away,4,661.0,1,639.0,176|639|661|1061
401535138,Theresa Plaisance,home,2,,0,452.0,230|452
401535138,Kia Nurse,home,1,,0,,267
401535138,Sug Sutton,away,1,,0,,363
401535138,Sam Thomas,away,2,,0,1884.0,554|1884
401535138,Jordan Horston,home,2,,0,1004.0,667|1004
401535138,Kaila Charles,home,1,,0,,675
401535138,Brianna Turner,away,1,,0,,708
401535138,Arella Guirantes,home,3,2172.0,0,2014.0,849|2014|2172
401535138,Sami Whitcomb,home,1,,0,,1013
401535138,Moriah Jefferson,away,1,,0,,1095
401535138,Kadi Sissoko defensive 3-seconds (technical,away,1,,0,,1147
401535138,Jennie Simms,away,4,1992.0,0,1389.0,1313|1389|1992|2138
401535138,Ezi Magbegor,home,1,,0,,1473
401535138,Yvonne Turner,home,1,,0,,1477
401535138,Liz Dixon,away,4,2110.0,0,1834.0,1668|1834|2110|2317
401535138,Jasmine Walker,home,1,,0,,1705
401535138,Madi Williams,home,2,,0,2043.0,1945|2043
401535138,Dulcy Fankam Mendjiadeu,home,1,,0,,2079
401535138,Essence Booker,away,1,,0,,2273
401535138,Jade Loville,home,1,,0,,2394
401537460,Tiffany Hayes,home,1,,0,,71
401537460,Nyara Sabally,away,3,1294.0,0,521.0,108|521|1294
401537460,Stefanie Dolson,away,4,1311.0,0,977.0,121|977|1311|1399
401537460,Sabrina Ionescu,away,2,,0,681.0,159|681
401537460,Betnijah Laney,away,1,,0,,294
401537460,Brionna Jones,home,2,,0,935.0,348|935
401537460,Han Xu,away,2,,0,711.0,446|711
401537460,Natisha Hiedeman,home,1,,0,,463
401537460,DiJonai Carrington,home,2,,0,2306.0,632|2306
401537460,Rebecca Allen,home,2,,0,1189.9,786|1190
401537460,Jocelyn Willoughby,away,2,,0,1977.0,949|1977
401537460,Alyssa Thomas,home,1,,0,,1162
401537460,Ashten Prechtel,home,4,1752.9,0,1338.0,1329|1338|1753|2392
401537460,Olivia Nelson-Ododa,home,2,,0,2126.0,1487|2126
401537460,Epiphanny Prince,away,1,,0,,1609
401537460,Sika Koné,away,3,2315.0,0,2153.0,1727|2153|2315
401537460,Caitlin Bickle,home,2,,0,1991.0,1771|1991
401537460,Morgan Green,away,2,,0,2055.0,1889|2055
401537460,Jayla Everett,home,1,,0,,1962
401537460,Alexis Morris,home,1,,0,,2037
401537460,Stephanie Mawuli,away,1,,0,,2385
401537461,Monique Billings,away,5,1796.0,0,621.0,108|621|1796|2142|2228
401537461,Amanda Zahui B.,home,4,773.0,1,631.0,155|631|773|1666
401537461,Aari McDonald,away,3,1998.0,0,1335.0,418|1335|1998
401537461,Tianna Hawkins,home,3,1906.0,0,579.0,572|579|1906
401537461,Allisha Gray,away,1,,0,,597
401537461,Laeticia Amihere,away,4,1219.0,0,1215.0,773|1215|1219|1364
401537461,Elena Delle Donne,home,3,1471.0,0,918.0,840|918|1471
401537461,Emily Engstler,home,3,2371.9,0,2126.0,1011|2126|2372
401537461,Nia Coffey,away,2,,0,1669.0,1156|1669
401537461,Ariel Atkins,home,2,,0,1426.0,1236|1426
401537461,Natasha Cloud,home,2,,0,1464.0,1324|1464
401537461,Brittney Sykes,home,3,1422.0,0,1391.0,1373|1391|1422
401537461,Lorela Cubaj,away,2,,0,1970.0,1442|1970
401537461,Shatori Walker-Kimbrough,home,1,,0,,1507
401537461,Stephanie Jones,home,1,,0,,2013
401537461,Emily Engstler defensive 3-seconds (technical,home,1,,0,,2073
401537461,Jazmine Jones,home,2,,0,2388.9,2103|2389
401537461,Naz Hillmon,away,1,,0,,2187
401537461,Nia Coffey defensive 3-seconds (technical,away,1,,0,,2275
401535139,Chiney Ogwumike,away,3,1532.0,0,193.0,144|193|1532
401535139,Michaela Onyenwere,home,1,,0,,334
401535139,Karlie Samuelson,away,3,1862.0,0,504.0,430|504|1862
401535139,Monika Czinano,away,3,1853.0,0,1771.9,515|1772|1853
401535139,Sophie Cunningham,home,1,,0,,534
401535139,Zia Cooke,away,2,,0,961.0,591|961
401535139,Kadi Sissoko,home,1,,0,,799
401535139,Rae Burrell,away,3,1151.9,1,1139.0,846|1139|1152
401535139,Brianna Turner,home,2,,0,1235.0,862|1235
401535139,Jennie Simms,home,3,2189.0,0,1800.0,873|1800|2189
401535139,Crystal Bradford,away,2,,0,1115.0,970|1115
401535139,Sug Sutton,home,2,,0,1458.0,1195|1458
401535139,Diana Taurasi,home,2,,0,1366.0,1253|1366
401535139,Brittney Griner,home,1,,0,,1344
401535139,Lexie Brown,away,1,,0,,1354
401535139,Jordin Canada,away,1,,0,,1519
401535139,Megan Gustafson,home,1,,0,,1826
401535139,Evina Westbrook,home,3,2274.0,0,1992.0,1829|1992|2274
401535139,Liz Dixon,home,2,,0,2086.0,2054|2086
401535139,Sam Thomas,home,1,,0,,2103
401535139,Reshanda Gray,away,3,2259.0,0,2221.0,2171|2221|2259
401537462,Aliyah Boston,home,6,734.0,1,676.0,10|676|734|1378|1816|2213
401537462,Veronica Burton,away,2,,0,790.0,159|790
401537462,Kelsey Mitchell,home,2,,0,1140.9,214|1141
401537462,Kalani Brown,away,3,941.0,1,233.0,222|233|941
401537462,Satou Sabally,away,3,1963.0,0,992.0,281|992|1963
401537462,Charli Collier,away,2,,0,1662.0,409|1662
401537462,Victaria Saxton,home,4,1825.0,0,1755.0,543|1755|1825|1937
